date,Primario,Secundario,Mineria,Energia,Construccion,Manufactura,Terciario
2000-01-01,88.4,89.3,101.1,53.8,85.3,90.0,73.5
2000-02-01,74.5,90.0,99.6,54.6,86.2,90.7,73.2
2000-03-01,76.0,90.0,101.2,55.2,84.1,90.8,72.6
2000-04-01,75.6,90.3,103.8,55.0,84.6,90.8,73.4
2000-05-01,80.6,91.2,103.1,55.2,85.6,91.6,73.8
2000-06-01,78.3,91.7,104.4,55.2,84.7,92.7,74.2
2000-07-01,73.5,91.4,96.8,54.7,83.4,96.4,74.6
2000-08-01,75.7,91.6,105.6,55.3,83.3,92.7,74.5
2000-09-01,76.8,91.5,107.5,56.0,81.9,92.8,75.0
2000-10-01,81.3,90.6,99.8,56.2,82.1,93.0,75.0
2000-11-01,76.5,89.8,102.4,56.8,80.4,91.4,75.2
2000-12-01,84.1,88.6,102.9,56.5,79.6,89.5,74.6
2001-01-01,80.2,90.0,103.8,56.4,78.5,92.7,74.4
2001-02-01,74.5,89.5,107.2,56.9,77.1,91.3,74.3
2001-03-01,81.3,89.1,105.9,57.1,76.7,90.2,74.4
2001-04-01,83.7,87.0,102.5,57.7,73.4,89.6,74.7
2001-05-01,83.2,88.2,102.2,57.5,75.2,90.3,74.2
2001-06-01,85.4,88.6,105.7,58.0,76.1,89.5,74.3
2001-07-01,80.2,89.2,106.3,57.6,78.9,89.1,74.3
2001-08-01,88.0,88.9,105.8,59.0,79.0,88.6,74.5
2001-09-01,85.3,88.9,106.8,58.9,78.3,88.9,74.5
2001-10-01,85.6,86.7,103.9,59.5,76.0,87.1,74.1
2001-11-01,90.7,88.4,108.2,60.2,76.7,87.5,74.0
2001-12-01,83.1,88.5,109.0,60.4,78.3,86.8,74.1
2002-01-01,82.0,86.8,106.3,56.7,74.3,86.9,73.1
2002-02-01,82.1,86.2,106.1,57.2,74.2,86.4,74.0
2002-03-01,81.9,86.2,104.2,57.0,70.5,87.6,74.8
2002-04-01,84.1,87.0,105.7,57.4,74.5,87.5,74.8
2002-05-01,83.6,87.1,105.8,58.5,75.3,86.4,75.1
2002-06-01,81.1,86.8,105.7,58.1,74.3,86.9,75.1
2002-07-01,83.8,87.0,104.8,58.3,75.3,87.0,75.2
2002-08-01,86.0,87.7,106.4,58.2,76.3,87.3,75.5
2002-09-01,84.1,87.7,105.6,58.7,77.7,87.1,75.5
2002-10-01,86.1,88.5,110.7,58.7,77.2,87.6,75.4
2002-11-01,82.7,88.2,104.9,58.1,77.2,88.3,75.1
2002-12-01,82.1,88.2,108.0,60.0,77.9,86.5,75.5
2003-01-01,84.0,87.7,109.0,59.0,78.3,85.4,75.9
2003-02-01,83.5,89.3,110.5,59.5,81.8,86.8,75.8
2003-03-01,85.7,88.3,110.5,59.9,77.3,85.9,75.5
2003-04-01,85.2,88.2,109.2,59.8,77.7,86.5,75.5
2003-05-01,83.3,88.4,110.0,60.2,77.0,86.4,75.2
2003-06-01,88.5,89.0,111.0,60.2,78.1,86.9,75.5
2003-07-01,89.4,88.9,111.6,60.6,77.6,86.6,75.7
2003-08-01,86.0,88.8,111.5,60.3,77.0,86.3,74.8
2003-09-01,88.5,88.6,112.2,60.2,76.4,86.5,75.4
2003-10-01,79.4,89.0,114.2,60.5,78.5,86.6,75.8
2003-11-01,88.7,89.1,113.6,61.7,75.4,87.0,76.1
2003-12-01,88.4,90.5,113.3,61.4,79.1,87.7,76.7
2004-01-01,93.4,91.0,112.9,65.3,85.7,87.1,76.8
2004-02-01,90.8,90.9,112.6,65.6,82.5,87.4,77.3
2004-03-01,89.1,92.2,112.2,67.3,83.6,89.5,78.5
2004-04-01,87.5,92.3,114.2,66.7,84.0,89.0,78.1
2004-05-01,86.3,92.1,112.9,66.1,83.1,89.1,78.7
2004-06-01,86.0,92.2,113.7,66.5,83.3,89.0,78.9
2004-07-01,85.6,91.8,111.3,66.8,82.8,89.7,78.5
2004-08-01,83.7,91.8,110.8,67.6,80.8,90.2,78.8
2004-09-01,86.1,92.4,114.4,67.9,82.5,89.9,78.6
2004-10-01,84.4,92.8,116.5,68.3,83.1,90.0,79.0
2004-11-01,92.4,92.9,114.4,68.5,83.7,90.0,80.1
2004-12-01,90.4,92.8,108.6,68.9,83.5,91.0,79.7
2005-01-01,85.9,93.4,113.2,71.0,88.4,90.1,79.4
2005-02-01,87.3,93.5,113.4,71.6,84.8,90.9,79.9
2005-03-01,85.1,93.1,111.4,71.5,85.2,90.7,80.0
2005-04-01,86.5,93.6,114.2,71.8,85.0,90.8,80.3
2005-05-01,84.6,95.1,116.1,72.3,85.8,91.5,80.5
2005-06-01,74.7,93.5,115.7,73.4,85.7,89.0,80.2
2005-07-01,93.0,91.6,105.8,73.6,84.7,90.2,80.8
2005-08-01,88.7,94.3,115.6,72.8,84.5,91.1,81.2
2005-09-01,86.6,94.4,113.6,73.2,85.7,92.1,81.6
2005-10-01,81.1,94.3,111.8,73.7,86.1,93.2,81.9
