date,Mineria,Energia,Construccion,Manufactura,Comercio
2013-01-01,100.8,99.9,100.5,99.5,99.4
2013-02-01,100.2,99.4,102.4,99.9,99.1
2013-03-01,99.6,97.9,100.7,99.9,99.6
2013-04-01,99.5,98.3,98.7,99.2,99.4
2013-05-01,99,100.1,102.9,99.5,99.9
2013-06-01,99.2,99.8,98.2,99.8,99.7
2013-07-01,99.5,100.5,98.1,100.1,99.7
2013-08-01,99.8,100.7,99.6,100.9,100.5
2013-09-01,99.5,100,98.6,100.5,100.4
2013-10-01,101,100.4,99,101.1,100.4
2013-11-01,101.6,101.4,99.8,100.5,100.7
2013-12-01,101.4,100.9,101.3,99.6,101.1
2014-01-01,100.2,106.9,98.7,101.7,100.2
2014-02-01,99.8,106.1,102.6,101.5,101.5
2014-03-01,99.4,107.6,103,102.9,101.4
2014-04-01,99.3,108.6,103.8,103.9,101.9
2014-05-01,99.1,108,103.7,104.4,102.9
2014-06-01,98.4,108,104.4,104.4,102.2
2014-07-01,97.8,107.8,98.9,104.8,103.2
2014-08-01,98.3,108.7,101.7,103.3,103.1
2014-09-01,97.5,108.7,101.7,104.6,102.3
2014-10-01,96.5,108.8,104.8,105.2,103.8
2014-11-01,96.3,108.2,104.4,106.1,104.2
2014-12-01,95.6,109.5,104.1,105.6,104.3
2015-01-01,95.1,109.5,103.1,105.4,105.1
2015-02-01,96.9,108.5,100.5,106.7,105.2
2015-03-01,95.6,109,102.3,105.6,105.7
2015-04-01,92.7,109.4,107.3,107.8,107
2015-05-01,92.7,107.7,103.1,106.6,106.6
2015-06-01,93.5,107.9,104.3,106.6,107.4
2015-07-01,93.5,109.3,108.6,106.8,107.7
2015-08-01,94,111,108.7,107.1,107.8
2015-09-01,93.5,111.5,108.9,108.7,108.3
2015-10-01,93.3,112.4,102.3,108.5,108.4
2015-11-01,92.8,111.6,105.6,107.5,108
2015-12-01,92.8,111,104.1,108,107.5
2016-01-01,92.1,108.5,106.2,108.4,108.7
2016-02-01,92.8,109.7,107,108.3,109.4
2016-03-01,92.4,109.3,106.5,107.7,109.4
2016-04-01,90.5,109.3,106.7,107.2,109.6
2016-05-01,89.9,110.6,107.7,107.9,110.1
2016-06-01,89.4,110.8,105.8,108.1,110.5
2016-07-01,89.9,111.4,105.2,108.4,110.8
2016-08-01,88.2,110.4,105,108.9,110.7
2016-09-01,88,109.5,105.5,108.6,111.6
2016-10-01,88.4,110.7,106.3,109,112.2
2016-11-01,86.9,109.4,111.5,110,112.3
2016-12-01,86,110.6,106,111.1,113.2
2017-01-01,85.8,110.3,105.8,111.9,113.3
2017-02-01,83.8,109.2,104.9,111.7,113.4
2017-03-01,84.7,111.5,106.4,112.5,113.6
2017-04-01,84.6,108.8,103.8,112.2,114
2017-05-01,84.6,111.1,103.4,111.4,113.7
2017-06-01,84.2,110.8,106.1,111.4,114.3
2017-07-01,83.5,108.5,104.8,111.5,113.7
2017-08-01,81.2,108.4,106.2,112.1,114.7
2017-09-01,75.2,109.5,107.9,109.9,113.7
2017-10-01,80,106.4,107.5,112.6,114.7
2017-11-01,80.2,111.7,108,112.7,115.6
2017-12-01,80.1,109.3,110.2,112.8,116.7
2018-01-01,81.2,117.8,108.5,112.4,115.4
2018-02-01,78.4,118.8,109,112.8,116.4
2018-03-01,78.7,116.1,108.9,115.3,118
2018-04-01,79.6,119.3,108,112.3,117.2
2018-05-01,79.3,115.1,109.2,114.5,117.4
2018-06-01,78,118.1,108,114.5,117.6
2018-07-01,77.4,120.5,109.1,113.9,118
2018-08-01,77.7,118.4,104.1,114.3,118.4
2018-09-01,77.1,119.4,106.3,114.8,118
2018-10-01,76,117.3,106,113.9,118
2018-11-01,74.7,118.5,101.5,114.8,118.1
2018-12-01,74.3,114.7,102.6,113.1,117.2
2019-01-01,72.1,117.2,108.4,114.6,117.7
2019-02-01,73.7,117.5,108,115.2,117.7
2019-03-01,73.3,117.6,103.5,114.4,118
2019-04-01,73.1,119.9,105,115.4,117.8
2019-05-01,72.3,119.5,99.5,114.9,118.5
2019-06-01,73.6,121.2,100.7,115.1,118
2019-07-01,73,120.7,99.1,115.4,118.1
2019-08-01,74.8,123.1,101.5,114.8,117.9
2019-09-01,74.7,122.9,98.4,115.6,117.9
2019-10-01,74.5,122.6,96.3,112.6,117.9
2019-11-01,75.3,122.3,98,112.7,117.6
2019-12-01,74.8,122.3,98.3,112.5,117.4
2020-01-01,75.9,117.5,98.9,113,117.3
2020-02-01,75.1,119.1,97.6,112.4,117.1
2020-03-01,74.7,116.9,96.2,107.1,115.5
2020-04-01,70.3,115.8,64.7,74.3,99
2020-05-01,68.2,104.1,63.8,74.1,95.9
2020-06-01,69.8,105.1,74.4,94,101.9
